2020-11-02 09:11:36.412 INFO _internal - _log:  * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
2020-11-02 09:11:36.413 INFO _internal - _log:  * Restarting with stat
2020-11-02 09:38:12.570 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:05:08.572 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:05:13.446 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:06:30.024 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:30:32.965 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:31:33.789 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:32:07.318 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:32:08.950 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:32:10.467 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:33:19.929 INFO _internal - _log:  * Restarting with stat
2020-11-02 10:33:51.900 INFO _internal - _log:  * Restarting with stat
2020-11-02 11:00:16.460 INFO _internal - _log:  * Restarting with stat
2020-11-02 11:00:34.476 INFO _internal - _log:  * Restarting with stat
2020-11-02 11:00:53.203 INFO _internal - _log:  * Restarting with stat
2020-11-02 11:01:03.769 INFO _internal - _log:  * Restarting with stat
2020-11-02 11:01:18.532 INFO _internal - _log:  * Restarting with stat
